statDate,q1,q2,auto,geo,gender,age,poll
18.12.19 16:42,Авито,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 16:44,Авито,"drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 16:46,Спот автору ,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 16:47,Автору,auto·ru,"Да, но я его не вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 16:49,АВТО.РУ,"auto·ru, avito·ru",Нет,в Челябинской области,Мужчина,45-50 лет,chel01
18.12.19 16:50,Авто ру,"auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 16:54,Avto.ru,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
18.12.19 16:59,Авто ру,avito·ru,"Да, но я его не вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 17:06,"Авито,авто ру",avito·ru,"Да, но я его не вожу",в Челябинской области,Мужчина,менее 18 лет,chel01
18.12.19 17:10,Дром,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 17:11,Авито,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 17:13,Авито,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 17:13,"Авито, авто.ру, дром.авто","drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 17:14,Незнаю,avito·ru,Нет,Добрянка,Мужчина,35-44 лет,chel01
18.12.19 17:16,Drom,drom·ru,Нет,в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 17:17,Drom,drom·ru,Нет,в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 17:18,"Дром ру , Авито","drom·ru, avito·ru",Нет,в Челябинске,Мужчина,35-44 лет,chel01
