statDate,q1,q2,auto,geo,gender,age,poll
19.12.19 12:16,Авто ру ,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,18-24 лет,chel01
19.12.19 12:17,Авто ру ,"drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,18-24 лет,chel01
19.12.19 12:31,Автору. Дром.ру Авито,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 12:58,Авто ру,"drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 13:06,Дром авто ру,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 13:26,Авто ру,auto·ru,"Да, я его вожу",в Челябинской области,Мужчина,25-34 лет,chel01
19.12.19 13:47,"avto.ru , drom.ru, ","drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 14:00,Не знаю,avito·ru,Нет,в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 14:08,Авто. Ру,auto·ru,Нет,в Челябинске,Мужчина,менее 18 лет,chel01
19.12.19 14:09,Авто ру,drom·ru,Нет,в Челябинске,Мужчина,менее 18 лет,chel01
19.12.19 14:33,2гиз,drom·ru,Нет,в Челябинске,Мужчина,18-24 лет,chel01
19.12.19 14:39,Нет,Нет,Нет,в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 14:41,Плохая затея точка ком,Сдам в утиль,"Да, но я его не вожу","Не имеет значения, опрос все равно бесполезен",Мужчина,25-34 лет,chel01
19.12.19 14:53,дром.ру,drom·ru,"Да, но я его не вожу",в Челябинске,Женщина,45-50 лет,chel01
19.12.19 16:24,никаких,"нигде, я не ваша ЦА. Перенастройте рекламу :)",Нет,в Челябинске,Мужчина,18-24 лет,chel01
19.12.19 16:25,никакие,"второй раз показываться, интересно :)",Нет,в Челябинске,Мужчина,18-24 лет,chel01
